company,sector,country,website,market cap,in S&P 500,in TODO landscape,in OSCI,in OSPO++ landscape,in OSPO Alliance,TODO status,OSCI position
3M,Industrials,United States,unknown,unknown,True,False,False,False,False,na,na
A. O. Smith,Industrials,United States,unknown,unknown,True,False,False,False,False,na,na
Abbott,Healthcare & Pharma,United States,unknown,unknown,True,False,False,False,False,na,na
AbbVie,Healthcare & Pharma,United States,unknown,unknown,True,False,False,False,False,na,na
Accenture,Technology,United States,unknown,unknown,True,False,True,False,False,na,66.0
Activision Blizzard,Communication Services,United States,unknown,unknown,True,False,False,False,False,na,na
ADM,Consumer Staples,United States,unknown,unknown,True,False,False,False,False,na,na
Adobe Inc.,Technology,United States,unknown,unknown,True,False,False,False,False,na,na
ADP,Industrials,United States,unknown,unknown,True,False,False,False,False,na,na
Advance Auto Parts,Consumer Discretionary,United States,unknown,unknown,True,False,False,False,False,na,na
AES Corporation,Utilities,United States,unknown,unknown,True,False,False,False,False,na,na
Aflac,"Banking, Insurance & Financial Services ",United States,unknown,unknown,True,False,False,False,False,na,na
Agilent Technologies,Healthcare & Pharma,United States,unknown,unknown,True,False,False,False,False,na,na
Air Products and Chemicals,Materials,United States,unknown,unknown,True,False,False,False,False,na,na
Akamai,Technology,United States,unknown,unknown,True,False,False,False,False,na,na
Alaska Air Group,Industrials,United States,unknown,unknown,True,False,False,False,False,na,na
Albemarle Corporation,Materials,United States,unknown,unknown,True,False,False,False,False,na,na
Alexandria Real Estate Equities,Real Estate,United States,unknown,unknown,True,False,False,False,False,na,na
Align Technology,Healthcare & Pharma,United States,unknown,unknown,True,False,False,False,False,na,na
Allegion,Industrials,United States,unknown,unknown,True,False,False,False,False,na,na
Alliant Energy,Utilities,United States,unknown,unknown,True,False,False,False,False,na,na
Allstate,"Banking, Insurance & Financial Services ",United States,unknown,unknown,True,False,False,False,False,na,na
Altria,Consumer Staples,United States,unknown,unknown,True,False,False,False,False,na,na
Amazon,Consumer Discretionary,United States,unknown,unknown,True,False,True,False,False,na,5.0
Amcor,Materials,United States,unknown,unknown,True,False,False,False,False,na,na
AMD,Technology,United States,unknown,unknown,True,False,True,False,False,na,16.0
Ameren,Utilities,United States,unknown,unknown,True,False,False,False,False,na,na
American Airlines Group,Industrials,United States,unknown,unknown,True,False,False,False,False,na,na
American Electric Power,Utilities,United States,unknown,unknown,True,False,False,False,False,na,na
American Express,"Banking, Insurance & Financial Services ",United States,unknown,unknown,True,False,False,False,False,na,na
American International Group,"Banking, Insurance & Financial Services ",United States,unknown,unknown,True,False,False,False,False,na,na
American Tower,Real Estate,United States,unknown,unknown,True,False,False,False,False,na,na
American Water Works,Utilities,United States,unknown,unknown,True,False,False,False,False,na,na
Ameriprise Financial,"Banking, Insurance & Financial Services ",United States,unknown,unknown,True,False,False,False,False,na,na
AmerisourceBergen,Healthcare & Pharma,United States,unknown,unknown,True,False,False,False,False,na,na
Ametek,Industrials,United States,unknown,unknown,True,False,False,False,False,na,na
Amgen,Healthcare & Pharma,United States,unknown,unknown,True,False,False,False,False,na,na
Amphenol,Technology,United States,unknown,unknown,True,False,False,False,False,na,na
Analog Devices,Technology,United States,unknown,unknown,True,False,True,False,False,na,50.0
Ansys,Technology,United States,unknown,unknown,True,False,False,False,False,na,na
Aon,"Banking, Insurance & Financial Services ",United States,unknown,unknown,True,False,False,False,False,na,na
APA Corporation,Energy,United States,unknown,unknown,True,False,False,False,False,na,na
Apple Inc.,Technology,United States,unknown,unknown,True,False,False,False,False,na,na
Applied Materials,Technology,United States,unknown,unknown,True,False,False,False,False,na,na
Aptiv,Consumer Discretionary,United States,unknown,unknown,True,False,False,False,False,na,na
Arch Capital Group,"Banking, Insurance & Financial Services ",United States,unknown,unknown,True,False,False,False,False,na,na
Arista Networks,Technology,United States,unknown,unknown,True,False,False,False,False,na,na
Arthur J. Gallagher & Co.,"Banking, Insurance & Financial Services ",United States,unknown,unknown,True,False,False,False,False,na,na
Assurant,"Banking, Insurance & Financial Services ",United States,unknown,unknown,True,False,False,False,False,na,na
AT&T,Communication Services,United States,unknown,unknown,True,False,False,False,False,na,na
Atmos Energy,Utilities,United States,unknown,unknown,True,False,False,False,False,na,na
Autodesk,Technology,United States,unknown,41814491136.0,True,True,True,False,False,Autodesk (Adopter),110.0
AutoZone,Consumer Discretionary,United States,unknown,unknown,True,False,False,False,False,na,na
AvalonBay Communities,Real Estate,United States,unknown,unknown,True,False,False,False,False,na,na
Avery Dennison,Materials,United States,unknown,unknown,True,False,False,False,False,na,na
Axon Enterprise,Industrials,United States,unknown,unknown,True,False,False,False,False,na,na
Baker Hughes,Energy,United States,unknown,unknown,True,False,False,False,False,na,na
Ball Corporation,Materials,United States,unknown,unknown,True,False,False,False,False,na,na
Bank of America,"Banking, Insurance & Financial Services ",United States,unknown,unknown,True,False,False,False,False,na,na
"Bath & Body Works, Inc.",Consumer Discretionary,United States,unknown,unknown,True,False,False,False,False,na,na
Baxter International,Healthcare & Pharma,United States,unknown,unknown,True,False,False,False,False,na,na
Becton Dickinson,Healthcare & Pharma,United States,unknown,unknown,True,False,False,False,False,na,na
Berkley,"Banking, Insurance & Financial Services ",United States,unknown,unknown,True,False,False,False,False,na,na
Berkshire Hathaway,"Banking, Insurance & Financial Services ",United States,unknown,unknown,True,False,False,False,False,na,na
