company,sector,country,in S&P 500,OSCI position,in OSCI,market cap,OSPO status,in OSPO landscape
3M,Industrials,United States,True,n/a,False,unknown,n/a,False
A. O. Smith,Industrials,United States,True,n/a,False,unknown,n/a,False
Abbott Laboratories,Healthcare & Pharma,United States,True,n/a,False,unknown,n/a,False
AbbVie,Healthcare & Pharma,United States,True,n/a,False,unknown,n/a,False
Abiomed,Healthcare & Pharma,United States,True,n/a,False,unknown,n/a,False
Accenture,Technology,United States,True,47.0,True,unknown,n/a,False
Activision Blizzard,Communication Services,United States,True,n/a,False,unknown,n/a,False
ADM,Consumer Staples,United States,True,n/a,False,unknown,n/a,False
Adobe,Technology,United States,True,17.0,True,188740124672.0,Adobe (Adopter),True
Advance Auto Parts,Consumer Discretionary,United States,True,n/a,False,unknown,n/a,False
Advanced Micro Devices,Technology,United States,True,n/a,False,unknown,n/a,False
AES Corp,Utilities,United States,True,n/a,False,unknown,n/a,False
Aflac,"Banking, Insurance & Financial Services ",United States,True,n/a,False,unknown,n/a,False
Agilent Technologies,Healthcare & Pharma,United States,True,n/a,False,unknown,n/a,False
Air Products & Chemicals,Materials,United States,True,n/a,False,unknown,n/a,False
Akamai Technologies,Technology,United States,True,n/a,False,unknown,n/a,False
Alaska Air Group,Industrials,United States,True,n/a,False,unknown,n/a,False
Albemarle Corporation,Materials,United States,True,n/a,False,unknown,n/a,False
Alexandria Real Estate Equities,Real Estate,United States,True,n/a,False,unknown,n/a,False
Align Technology,Healthcare & Pharma,United States,True,n/a,False,unknown,n/a,False
Allegion,Industrials,United States,True,n/a,False,unknown,n/a,False
Alliant Energy,Utilities,United States,True,n/a,False,unknown,n/a,False
Allstate Corp,"Banking, Insurance & Financial Services ",United States,True,n/a,False,unknown,n/a,False
Altria Group,Consumer Staples,United States,True,n/a,False,unknown,n/a,False
Amazon,Consumer Discretionary,United States,True,6.0,True,unknown,n/a,False
Amcor,Materials,United States,True,n/a,False,unknown,n/a,False
Ameren Corp,Utilities,United States,True,n/a,False,unknown,n/a,False
American Airlines Group,Industrials,United States,True,n/a,False,unknown,n/a,False
American Electric Power,Utilities,United States,True,n/a,False,unknown,n/a,False
American Express,"Banking, Insurance & Financial Services ",United States,True,n/a,False,unknown,n/a,False
American International Group,"Banking, Insurance & Financial Services ",United States,True,n/a,False,unknown,n/a,False
American Tower,Real Estate,United States,True,n/a,False,unknown,n/a,False
American Water Works,Utilities,United States,True,n/a,False,unknown,n/a,False
Ameriprise Financial,"Banking, Insurance & Financial Services ",United States,True,n/a,False,unknown,n/a,False
AmerisourceBergen,Healthcare & Pharma,United States,True,n/a,False,unknown,n/a,False
Ametek,Industrials,United States,True,n/a,False,unknown,n/a,False
Amgen,Healthcare & Pharma,United States,True,n/a,False,unknown,n/a,False
Amphenol,Technology,United States,True,n/a,False,unknown,n/a,False
Analog Devices,Technology,United States,True,73.0,True,unknown,n/a,False
Ansys,Technology,United States,True,n/a,False,unknown,n/a,False
Anthem,Healthcare & Pharma,United States,True,n/a,False,unknown,n/a,False
Aon,"Banking, Insurance & Financial Services ",United States,True,n/a,False,unknown,n/a,False
APA Corporation,Energy,United States,True,n/a,False,unknown,n/a,False
Apple,Technology,United States,True,24.0,True,2608140386304.0,Apple (Adopter),True
Applied Materials,Technology,United States,True,n/a,False,unknown,n/a,False
Aptiv,Consumer Discretionary,United States,True,n/a,False,unknown,n/a,False
Arista Networks,Technology,United States,True,n/a,False,unknown,n/a,False
Arthur J. Gallagher & Co.,"Banking, Insurance & Financial Services ",United States,True,n/a,False,unknown,n/a,False
Assurant,"Banking, Insurance & Financial Services ",United States,True,n/a,False,unknown,n/a,False
AT&T,Communication Services,United States,True,n/a,False,unknown,n/a,False
Atmos Energy,Utilities,United States,True,n/a,False,unknown,n/a,False
Autodesk,Technology,United States,True,98.0,True,41994772480.0,Autodesk (Adopter),True
Automatic Data Processing,Technology,United States,True,n/a,False,unknown,n/a,False
AutoZone,Consumer Discretionary,United States,True,n/a,False,unknown,n/a,False
AvalonBay Communities,Real Estate,United States,True,n/a,False,unknown,n/a,False
Avery Dennison,Materials,United States,True,n/a,False,unknown,n/a,False
Baker Hughes,Energy,United States,True,n/a,False,unknown,n/a,False
Ball Corp,Materials,United States,True,n/a,False,unknown,n/a,False
Bank of America,"Banking, Insurance & Financial Services ",United States,True,n/a,False,unknown,n/a,False
Bath & Body Works Inc.,Consumer Discretionary,United States,True,n/a,False,unknown,n/a,False
Baxter International,Healthcare & Pharma,United States,True,n/a,False,unknown,n/a,False
Becton Dickinson,Healthcare & Pharma,United States,True,n/a,False,unknown,n/a,False
Berkshire Hathaway,"Banking, Insurance & Financial Services ",United States,True,n/a,False,unknown,n/a,False
Best Buy,Consumer Discretionary,United States,True,n/a,False,unknown,n/a,False
Bio-Rad Laboratories,Healthcare & Pharma,United States,True,n/a,False,unknown,n/a,False
Bio-Techne,Healthcare & Pharma,United States,True,n/a,False,unknown,n/a,False
Biogen,Healthcare & Pharma,United States,True,n/a,False,unknown,n/a,False
BlackRock,"Banking, Insurance & Financial Services ",United States,True,n/a,False,96751116288.0,BlackRock (Adopter),True
BNY Mellon,"Banking, Insurance & Financial Services ",United States,True,n/a,False,unknown,n/a,False
Boeing,Industrials,United States,True,n/a,False,unknown,n/a,False
Booking Holdings,Consumer Discretionary,United States,True,n/a,False,unknown,n/a,False
BorgWarner,Consumer Discretionary,United States,True,n/a,False,unknown,n/a,False
Boston Properties,Real Estate,United States,True,n/a,False,unknown,n/a,False
Boston Scientific,Healthcare & Pharma,United States,True,n/a,False,unknown,n/a,False
Bristol Myers Squibb,Healthcare & Pharma,United States,True,n/a,False,unknown,n/a,False
Broadcom,Technology,United States,True,70.0,True,unknown,n/a,False
Broadridge Financial Solutions,Technology,United States,True,n/a,False,unknown,n/a,False
Brown & Brown,"Banking, Insurance & Financial Services ",United States,True,n/a,False,unknown,n/a,False
Brown–Forman,Consumer Staples,United States,True,n/a,False,unknown,n/a,False
C. H. Robinson,Industrials,United States,True,n/a,False,unknown,n/a,False
Cadence Design Systems,Technology,United States,True,n/a,False,unknown,n/a,False
Caesars Entertainment,Consumer Discretionary,United States,True,n/a,False,unknown,n/a,False
Campbell Soup,Consumer Staples,United States,True,n/a,False,unknown,n/a,False
Capital One Financial,"Banking, Insurance & Financial Services ",United States,True,n/a,False,unknown,n/a,False
Cardinal Health,Healthcare & Pharma,United States,True,n/a,False,unknown,n/a,False
CarMax,Consumer Discretionary,United States,True,n/a,False,unknown,n/a,False
Carnival Corporation,Consumer Discretionary,United States,True,n/a,False,unknown,n/a,False
Carrier Global,Industrials,United States,True,n/a,False,unknown,n/a,False
Catalent,Healthcare & Pharma,United States,True,n/a,False,unknown,n/a,False
Caterpillar,Industrials,United States,True,n/a,False,unknown,n/a,False
Cboe Global Markets,"Banking, Insurance & Financial Services ",United States,True,n/a,False,unknown,n/a,False
CBRE,Real Estate,United States,True,n/a,False,unknown,n/a,False
CDW,Technology,United States,True,n/a,False,unknown,n/a,False
Celanese,Materials,United States,True,n/a,False,unknown,n/a,False
Centene Corporation,Healthcare & Pharma,United States,True,n/a,False,unknown,n/a,False
CenterPoint Energy,Utilities,United States,True,n/a,False,unknown,n/a,False
Ceridian,Technology,United States,True,n/a,False,unknown,n/a,False
Cerner,Healthcare & Pharma,United States,True,n/a,False,unknown,n/a,False
CF Industries,Materials,United States,True,n/a,False,unknown,n/a,False
Charles River Laboratories,Healthcare & Pharma,United States,True,n/a,False,unknown,n/a,False
Charles Schwab Corporation,"Banking, Insurance & Financial Services ",United States,True,n/a,False,unknown,n/a,False
Charter Communications,Communication Services,United States,True,n/a,False,unknown,n/a,False
Chevron Corporation,Energy,United States,True,n/a,False,unknown,n/a,False
Chipotle Mexican Grill,Consumer Discretionary,United States,True,n/a,False,unknown,n/a,False
Chubb,"Banking, Insurance & Financial Services ",United States,True,n/a,False,unknown,n/a,False
Church & Dwight,Consumer Staples,United States,True,n/a,False,unknown,n/a,False
Cigna,Healthcare & Pharma,United States,True,n/a,False,unknown,n/a,False
Cincinnati Financial,"Banking, Insurance & Financial Services ",United States,True,n/a,False,unknown,n/a,False
Cintas Corporation,Industrials,United States,True,n/a,False,unknown,n/a,False
Cisco Systems,Technology,United States,True,25.0,True,unknown,n/a,False
Citigroup,"Banking, Insurance & Financial Services ",United States,True,n/a,False,unknown,n/a,False
Citizens Financial Group,"Banking, Insurance & Financial Services ",United States,True,n/a,False,unknown,n/a,False
Citrix Systems,Technology,United States,True,n/a,False,unknown,n/a,False
Clorox,Consumer Staples,United States,True,n/a,False,unknown,n/a,False
CME Group,"Banking, Insurance & Financial Services ",United States,True,n/a,False,unknown,n/a,False
CMS Energy,Utilities,United States,True,n/a,False,unknown,n/a,False
Coca-Cola Company,Consumer Staples,United States,True,n/a,False,unknown,n/a,False
Cognizant Technology Solutions,Technology,United States,True,n/a,False,unknown,n/a,False
Colgate-Palmolive,Consumer Staples,United States,True,n/a,False,unknown,n/a,False
Comcast,Communication Services,United States,True,n/a,False,180723613696.0,Comcast (Adopter),True
Comerica,"Banking, Insurance & Financial Services ",United States,True,n/a,False,unknown,n/a,False
