Company,date_updated_suzy,Main Business ,Area of Business Value,Relevance to Core Business,Level of Engagement,TODO Member,TODO Adopter,Linux Foundation (Platinum + Gold),GitHub list https://github.com/collections/open-source-organizations,OSCI Index top 60(as of Feb 2021),Reasoning,GitHub,Note,Response to survey,Survey: What do you consider to be your company's dominant open source investment where there are likely shared dependencies? ,Survey: Want to hear more? ,Emailed to:
AT&T,5/7/21,Telcom/operator is main revenue source (also media and tech services),software,Accelerant,Co-Leading,,,X,,,"I sense that AT&T sees investments as strategic around innovation. While os is central to scaling and reducing costs, execs probably see this most as enabling them to drive innovation in areas of greater value creation/capture. Leadership roles in key os foundations/alliances (Linux Foundation, Open Infrastructure Foundation, O-Ran Alliance)",,,,,,
SAIC,5/7/21,SAIC integrates multiple disciplines to provide their customers with resilient solutions that accommodate rapid improvements in technology,services,Accelerant,Combining,,,,,,SAIC gov't focused. They contribute (e.g. RedHat push-button infra) but they combine prop + os in their client engagements. ,https://github.com/saic-oss,,,,,
Vapor IO,5/7/21,edge computing infra,software,Accelerant,Co-Leading,,,,,,"Using os for trust, function, ecosystem development around their platform. Calling value Software - really unsure what's right here as it seems to be accelerant for combo of hardware/software/services  ",,,,,,
Comcast,5/7/21,dimensions here are for cable communications side of things ,xaas,Accelerant,Co-Leading,X,X,,,,"Very broad set of investments that support almost all areas of their business. financial support for numerous os orgs, significant contributions to CNCF, Apache, elsewhere. From high vantage point, feel their overall approach is accelerant: from open sourcing their internal tools to open sourcing key components that make their products and services run (many products very dependent), I think common relevance is it helps them get to value creation/capture more quickly, more innovation where there's genuine advantage. This is definintely a company where you'll hone in on a particular area and derive dimensions from that particular use case (e.g. content delivery network would be dependent as well as promotional)",https://comcast.github.io/,Yes,,,,
CapitalOne,5/7/21,"credit + consumer/commercial bank services, credit business is dominant",,Accelerant,Contribute,X,X,,,,"os seems mainly for resusable services. Hygieia DevOps dashboard story is interesting (from internal tool to a consortium of cross-industry users) and Cloud Custodian, work with Linux + Apache Foundations, Open API, CNCF. By volume of projects - not necessarily best metric though - they Contribute more than Create. OS focus seems using as accelerant to both help them solve internal needs more quickly as well to create/capture value in externally facing products. ",,Yes,,,,
Datadog,5/7/21,cloud infrastructure monitoring ,xaas,Accelerant,Contribute,X,X,,,X,"client/Datadog agent and libraries os. Publish their agent/client, libraries, SDK and more on GitHub and have contributed core bits to external organizations, but don't see them as leading member of the ecosystem, so call for Contribute. Their positioning of their os commitment is that it drives trust w/ customers - so call this Accelerant.",https://github.com/DataDog,Yes,info@datadoghq.com,,,info@datadoghq.com
Verizon Media,5/7/21,"ads, content tech + creation, broadcast tech, devices, media brands",xaas,Accelerant,Contribute,X,X,X,,X,"os almost everywhere. From a high level across most areas, I'm calling their approach Accelerant. Much investment around big data tech. perhaps most contrib. to Apache. ",https://github.com/VerizonMedia,Yes,,,,"ospo@verizonmedia.com (listed on GH, bad address)"
Toyota ,5/7/21,,hardware,Accelerant,Contribute,X,X,X,,,"another massive company w/ broad use of OS, so answer really depends on area of concern, and hard to make broad determination. Many products rely on os, esp embedded/IOT (e.g. helped create Automotive Grade Linux). My focus here is on that infotainment platform, Toyota Camry (top seller in US) was first US car w/ it.",https://github.com/toyota-connected (no public repos) https://github.com/ToyotaResearchInstitute,,,,,
PayPal ,5/7/21,"service provider, $$ off fees + interest on money help. Provide XaaS infrastructure for transactions ",xaas,Beneficial,Combining,X,X,,,,"like most companies with large xaas scale, use a lot of os in their infrastructure for low cost scale.... But os also essential for Promotional support of their business. If you choose that, I'd say level of engagement is Creating",,,,,,
FannieMae,5/7/21,sells securitzed mortgages ,software,Beneficial,Combining,,X,,,,"use a lot in internal infra devops, os key to digital transformation, although also have open sourced libraries around their api and data viz platform. Considering this from an across-the-org perspective.","(one here https://github.com/The-Exchange-Fannie-Mae, they have another w/o public repos)",,,,,the_exchange@fanniemae.com
